Date,Open,High,Low,Close,Adj Close,Volume
2022-01-04,78800.000000,79200.000000,78300.000000,78700.000000,77819.453125,12427416
2022-01-05,78800.000000,79000.000000,76400.000000,77400.000000,76533.992188,25470640
2022-01-06,76700.000000,77600.000000,76600.000000,76900.000000,76039.585938,12931954
2022-01-07,78100.000000,78400.000000,77400.000000,78300.000000,77423.929688,15163757
2022-01-10,78100.000000,78100.000000,77100.000000,78000.000000,77127.289063,9947422
2022-01-11,78400.000000,79000.000000,78000.000000,78900.000000,78017.210938,13221123
2022-01-12,79500.000000,79600.000000,78600.000000,78900.000000,78017.210938,11000502
2022-01-13,79300.000000,79300.000000,77900.000000,77900.000000,77028.398438,13889401
2022-01-14,77700.000000,78100.000000,77100.000000,77300.000000,76435.117188,10096725
2022-01-17,77600.000000,77800.000000,76900.000000,77500.000000,76632.882813,8785122
2022-01-18,77600.000000,77800.000000,76600.000000,77000.000000,76138.468750,9592788
2022-01-19,76500.000000,76900.000000,76100.000000,76300.000000,75446.304688,10598290
2022-01-20,76200.000000,76700.000000,75900.000000,76500.000000,75644.062500,9708168
2022-01-21,75800.000000,75800.000000,74700.000000,75600.000000,74754.140625,15774888
2022-01-24,75400.000000,75800.000000,74700.000000,75100.000000,74259.734375,13691134
2022-01-25,74800.000000,75000.000000,73200.000000,74000.000000,73172.039063,17766704
2022-01-26,74000.000000,74000.000000,74000.000000,74000.000000,73172.039063,0
2022-01-27,73800.000000,74000.000000,71300.000000,71300.000000,70502.250000,22274777
2022-01-28,71300.000000,73700.000000,71200.000000,73300.000000,72479.875000,21367447
2022-02-03,74900.000000,74900.000000,73300.000000,73300.000000,72479.875000,17744721
2022-02-04,74300.000000,74600.000000,73400.000000,74000.000000,73172.039063,12730034
2022-02-07,73500.000000,73600.000000,72400.000000,73000.000000,72183.226563,14240838
2022-02-08,73000.000000,73000.000000,73000.000000,73000.000000,72183.226563,0
2022-02-09,73000.000000,73000.000000,73000.000000,73000.000000,72183.226563,0
2022-02-10,75600.000000,75800.000000,74700.000000,75400.000000,74556.375000,17746033
2022-02-11,75000.000000,75500.000000,74600.000000,74900.000000,74061.968750,12205407
2022-02-14,74400.000000,74500.000000,73100.000000,73700.000000,72875.398438,13993255
2022-02-15,74100.000000,74200.000000,73100.000000,73700.000000,72875.398438,9320365
2022-02-16,74600.000000,74900.000000,74200.000000,74800.000000,73963.085938,10767386
2022-02-17,75000.000000,75600.000000,74500.000000,75000.000000,74160.851563,13605382
2022-02-18,74600.000000,74800.000000,73700.000000,74300.000000,73468.679688,10122226
2022-02-21,74300.000000,74300.000000,74300.000000,74300.000000,73468.679688,0
2022-02-22,74300.000000,74300.000000,74300.000000,74300.000000,73468.679688,0
2022-02-23,74300.000000,74300.000000,74300.000000,74300.000000,73468.679688,0
2022-02-24,72300.000000,72300.000000,71300.000000,71500.000000,70700.007813,15759283
2022-02-25,72100.000000,72600.000000,71900.000000,71900.000000,71095.539063,13168484
2022-02-28,71900.000000,71900.000000,71900.000000,71900.000000,71095.539063,0
2022-03-02,72300.000000,72400.000000,71500.000000,71700.000000,70897.765625,12481430
2022-03-03,72300.000000,73100.000000,72200.000000,72900.000000,72084.343750,13232638
2022-03-04,72900.000000,72900.000000,72900.000000,72900.000000,72084.343750,0
2022-03-07,70000.000000,70600.000000,69900.000000,70100.000000,69315.671875,18617138
2022-03-08,68800.000000,70000.000000,68700.000000,69500.000000,68722.390625,15828269
2022-03-10,69500.000000,69500.000000,69500.000000,69500.000000,68722.390625,0
2022-03-11,70500.000000,70700.000000,69700.000000,70000.000000,69216.796875,15787655
2022-03-14,70000.000000,70200.000000,69600.000000,70200.000000,69414.554688,9040993
2022-03-15,70200.000000,70200.000000,70200.000000,70200.000000,69414.554688,0
2022-03-16,70200.000000,70500.000000,69700.000000,70400.000000,69612.320313,10175750
2022-03-17,70400.000000,70400.000000,70400.000000,70400.000000,69612.320313,0
2022-03-18,70600.000000,70900.000000,70200.000000,70700.000000,69908.960938,14410038
2022-03-21,70900.000000,71000.000000,69900.000000,69900.000000,69117.914063,11169002
2022-03-22,69900.000000,70500.000000,69900.000000,70300.000000,69513.437500,9402666
2022-03-23,70600.000000,71200.000000,70300.000000,70500.000000,69711.203125,12398025
2022-03-24,69600.000000,70300.000000,69600.000000,69800.000000,69019.031250,37943357
2022-03-25,70100.000000,70200.000000,69600.000000,69800.000000,69019.031250,12986010
2022-03-28,69500.000000,69900.000000,69200.000000,69700.000000,68920.148438,12619289
2022-03-29,70000.000000,70300.000000,69800.000000,70200.000000,69414.554688,13686208
2022-03-30,70300.000000,70500.000000,69800.000000,69900.000000,69475.187500,12670187
2022-03-31,69900.000000,70200.000000,69600.000000,69600.000000,69177.007813,12510366
2022-04-01,69500.000000,69500.000000,69000.000000,69100.000000,68680.046875,15916846
2022-04-04,68900.000000,69300.000000,68600.000000,69300.000000,68878.828125,11107905
2022-04-05,69400.000000,69600.000000,69100.000000,69200.000000,68779.437500,8467248
2022-04-06,68600.000000,68800.000000,68500.000000,68500.000000,68083.695313,15517308
2022-04-07,68500.000000,68500.000000,68000.000000,68000.000000,67586.734375,20683327
2022-04-08,68100.000000,68300.000000,67700.000000,67800.000000,67387.945313,15453191
2022-04-11,67800.000000,68100.000000,67400.000000,67900.000000,67487.343750,12263735
2022-04-12,67600.000000,67700.000000,67000.000000,67000.000000,66592.812500,13924389
2022-04-13,67300.000000,69000.000000,67200.000000,68700.000000,68282.476563,17378619
2022-04-14,68700.000000,68700.000000,67500.000000,67500.000000,67089.773438,16409494
2022-04-15,67200.000000,67300.000000,66500.000000,66600.000000,66195.242188,13176415
2022-04-18,66500.000000,67100.000000,66100.000000,66700.000000,66294.632813,10119203
2022-04-19,67100.000000,68000.000000,67000.000000,67300.000000,66890.984375,12959434
2022-04-20,67000.000000,67400.000000,66500.000000,67400.000000,66990.375000,16693293
2022-04-21,67600.000000,68300.000000,67500.000000,67700.000000,67288.554688,12847448
2022-04-22,67200.000000,67300.000000,66700.000000,67000.000000,66592.812500,11791478
2022-04-25,66500.000000,66700.000000,66300.000000,66300.000000,65897.062500,11016474
2022-04-26,66400.000000,66700.000000,66100.000000,66100.000000,65698.281250,12946923
2022-04-27,65400.000000,65500.000000,64900.000000,65000.000000,64604.964844,18122084
2022-04-28,65400.000000,65500.000000,64500.000000,64800.000000,64406.179688,16895527
2022-04-29,65100.000000,67600.000000,65000.000000,67400.000000,66990.375000,26190390
2022-05-02,66600.000000,67600.000000,66500.000000,67300.000000,66890.984375,14106184
2022-05-03,67400.000000,68400.000000,67300.000000,67500.000000,67089.773438,14168875
2022-05-04,68000.000000,68400.000000,67500.000000,67900.000000,67487.343750,11505248
2022-05-06,67000.000000,67100.000000,66500.000000,66500.000000,66095.851563,14356156
2022-05-10,65900.000000,66300.000000,65300.000000,65700.000000,65300.710938,17235605
2022-05-11,65500.000000,66300.000000,65200.000000,65700.000000,65300.710938,12330920
2022-05-12,65200.000000,65500.000000,64900.000000,64900.000000,64505.574219,16414188
2022-05-13,65300.000000,66700.000000,65200.000000,66500.000000,66095.851563,14551536
2022-05-16,67100.000000,67400.000000,66100.000000,66300.000000,65897.062500,11937555
2022-05-17,66600.000000,67900.000000,66600.000000,67600.000000,67189.164063,15680447
2022-05-18,68300.000000,68700.000000,67600.000000,68100.000000,67686.125000,16486319
2022-05-19,66500.000000,67600.000000,66500.000000,67500.000000,67089.773438,17073727
2022-05-20,67800.000000,68400.000000,67700.000000,68000.000000,67586.734375,12109671
2022-05-23,68800.000000,68800.000000,67600.000000,67900.000000,67487.343750,13684088
2022-05-24,67500.000000,67700.000000,66500.000000,66500.000000,66095.851563,15482576
2022-05-25,66700.000000,67100.000000,65900.000000,66400.000000,65996.453125,15150490
2022-05-26,66300.000000,67200.000000,65500.000000,65900.000000,65499.496094,15970890
2022-05-27,66700.000000,66900.000000,66200.000000,66500.000000,66095.851563,11405555
2022-05-30,67500.000000,67800.000000,66900.000000,67700.000000,67288.554688,14255484
2022-05-31,67500.000000,67500.000000,66700.000000,67400.000000,66990.375000,24365002
2022-06-02,66600.000000,67000.000000,66400.000000,66700.000000,66294.632813,14959443
2022-06-03,67200.000000,67300.000000,66800.000000,66800.000000,66394.023438,8222883
